n_cases,runtime_seconds,days_used,unmatched_to_judges,unmatched_to_rooms,total_meetings
10,0.0011988329970336054,10,0,0,10
20,0.0025401249986316543,10,0,0,21
30,0.005016000002797227,10,0,0,33
40,0.00937175000217394,10,0,0,42
50,0.01335566700072377,10,0,0,51
60,0.02123345799918752,10,0,0,61
70,0.030397167000046466,10,0,0,72
80,0.04492995800319477,10,0,0,85
90,0.060179624997545034,10,0,0,92
100,0.07264295799905085,10,0,0,104
110,0.11479970799700823,10,0,0,117
120,0.17739070799871115,10,0,0,138
130,0.16300962500099558,10,0,0,137
140,0.22366554100153735,10,0,0,152
150,0.275972332998208,13,0,0,166
160,0.2830699999976787,10,0,0,168
170,0.35709120799947414,12,0,0,188
180,0.4769597080012318,12,0,0,194
190,0.5073733749995881,15,0,0,204
200,0.6170171250014391,11,0,0,214
210,0.7917186669983494,15,0,0,230
220,0.9324471660002018,14,0,0,248
230,1.166675791999296,19,0,0,265
240,0.9542132089991355,15,0,0,256
250,1.4232035829991219,19,0,0,278
260,1.4880818339988764,22,0,0,296
270,1.458624625000084,15,0,0,293
280,1.5609450839983765,14,0,0,299
290,1.5866692089985008,13,0,0,302
300,1.688275958000304,14,0,0,311
310,2.4428277909973986,20,0,0,343
320,2.2238102910014277,15,0,0,333
330,2.775909625001077,18,0,0,351
340,2.894612957999925,24,0,0,372
350,3.0464010420000704,26,0,0,378
360,3.1890746250028315,22,0,0,388
370,4.195808583001053,27,0,0,404
380,3.7991538749993197,16,0,0,401
390,4.662476500001503,21,0,0,430
400,4.880251999999018,20,0,0,435
410,6.101456165997661,27,0,0,471
420,5.552331833001517,25,0,0,451
430,5.61027833299886,24,0,0,458
440,6.970775541001785,28,0,0,479
450,7.290159832999052,24,0,0,492
460,7.883096583002043,24,0,0,505
470,8.193784625000262,28,0,0,508
480,8.948102124999423,26,0,0,527
490,11.806855625000026,36,0,0,556
500,9.500864458997967,24,0,0,537
510,11.291585957998905,37,0,0,573
520,11.734991750003246,34,0,0,578
530,11.28766620800161,29,0,0,572
540,14.53779299999951,32,0,0,606
550,14.393637291999767,31,0,0,607
560,14.320786000000226,29,0,0,614
570,15.332778292002331,34,0,0,627
580,15.959553832999518,36,0,0,631
590,14.994227625000349,30,0,0,640
600,16.36999108300006,32,0,0,648
610,19.71415504200195,34,0,0,671
620,19.325323541001126,36,0,0,674
630,21.057004709000466,37,0,0,693
640,19.65832883300027,37,0,0,686
650,21.995540583000547,36,0,0,712
660,24.15837966700201,37,0,0,717
670,24.66979929199806,44,0,0,729
680,22.3547202080008,31,0,0,717
690,28.162247292002576,38,0,0,753
700,24.643095999999787,35,0,0,748
710,27.622312041999976,44,0,0,770
720,30.337397249997593,39,0,0,786
730,30.66690445799759,40,0,0,794
740,30.559287332998792,34,0,0,790
750,30.351573959000234,33,0,0,789
760,34.093653584001004,45,0,0,822
770,35.08565316699969,42,0,0,837
780,39.207893791997776,45,0,0,847
790,38.30967795799734,49,0,0,846
800,41.39724533399931,51,0,0,873
810,43.609111708003184,38,0,0,886
820,43.561825958000554,41,0,0,879
830,52.52278633300011,52,0,0,910
840,47.70752666699991,45,0,0,912
850,52.01691199999914,43,0,0,928
860,53.81078895799874,60,0,0,964
870,51.83100208399992,50,0,0,938
880,60.0280456670007,46,0,0,957
890,59.406950707998476,40,0,0,968
900,64.19756366599904,44,0,0,1004
910,61.69797020799888,54,0,0,1003
920,63.71605908300262,56,0,0,1004
930,63.94482770900504,46,0,0,1010
940,66.88226691700402,48,0,0,1015
950,77.33723879200261,53,0,0,1061
960,73.19186912499572,47,0,0,1046
970,70.96262312500039,41,0,0,1047
980,77.9074830410027,60,0,0,1082
990,81.35275441699923,55,0,0,1095
1000,85.9726762499995,51,0,0,1120
1010,81.51638845900015,45,0,0,1095
1020,89.79103362499882,54,0,0,1126
1030,89.35484895800619,52,0,0,1121
1040,100.38747208299901,58,0,0,1163
1050,92.99015733299893,59,0,0,1132
1060,107.02728579199902,64,0,0,1183
1070,108.11945633400319,59,0,0,1186
1080,100.56254925000394,57,0,0,1180
1090,108.58296629200049,51,0,0,1202
1100,116.35980233299779,64,0,0,1205
1110,103.76940358400316,54,0,0,1202
1120,115.49153754200233,56,0,0,1228
1130,113.92832816699956,54,0,0,1218
1140,119.04325699999754,49,0,0,1233
1150,130.0770359579983,60,0,0,1255
1160,138.71266920800554,61,0,0,1282
1170,126.65498133299843,56,0,0,1268
1180,138.92578641699947,76,0,0,1291
1190,129.51943120799842,62,0,0,1277
1200,131.11408837499766,62,0,0,1285
1210,153.76230004100216,60,0,0,1330
1220,172.80337212500308,75,0,0,1343
1230,156.88910566599952,55,0,0,1321
