n_cases,runtime_seconds,days_used,unmatched_to_judges,unmatched_to_rooms,total_meetings
10,0.0011372499939170666,10,0,0,10
20,0.0025449579989071935,10,0,0,21
30,0.004594958998495713,10,0,0,31
40,0.00963541599776363,10,0,0,41
50,0.014515875001961831,10,0,0,53
60,0.021482125004695263,10,0,0,63
70,0.03673829200124601,10,0,0,80
80,0.0522033340021153,10,0,0,90
90,0.07097266599885188,10,0,0,101
100,0.09509225000510924,11,0,0,112
110,0.13389941700006602,11,0,0,129
120,0.18374924999807263,11,0,0,140
130,0.22139895899454132,12,0,0,150
140,0.2431998329993803,12,0,0,161
150,0.293219749997661,13,0,0,172
160,0.3497425829991698,13,0,0,185
170,0.4344493330063415,14,0,0,197
180,0.5315013340004953,13,0,0,207
190,0.6067880830014474,12,0,0,217
200,0.6317142920015613,14,0,0,227
210,0.7201038749990403,15,0,0,240
220,0.9507064579956932,15,0,0,251
230,1.0470981249964098,15,0,0,261
240,1.191312167000433,17,0,0,271
250,1.323650667000038,15,0,0,281
260,1.376966416995856,15,0,0,292
270,1.686079332997906,18,0,0,302
280,1.7317270419953275,18,0,0,312
290,1.8997264999998151,20,0,0,323
300,2.362354459000926,20,0,0,333
310,2.3491955420031445,21,0,0,344
320,2.775956750003388,21,0,0,354
330,2.8381359159975545,23,0,0,364
340,3.2562771660013823,21,0,0,375
350,3.4774228340029367,21,0,0,385
360,3.627224958006991,22,0,0,395
370,4.087147334001202,22,0,0,408
380,4.407226917006483,22,0,0,418
390,4.78330312500475,22,0,0,428
400,5.145404374998179,24,0,0,438
410,5.560839791003673,25,0,0,448
420,6.083037042000797,24,0,0,458
430,6.302861750002194,24,0,0,470
440,6.953045959002338,25,0,0,485
450,7.331132958002854,25,0,0,495
460,8.107379166998726,26,0,0,505
470,9.152767041996412,28,0,0,516
480,10.144881374995748,28,0,0,526
490,10.44405220799672,30,0,0,536
500,9.906077041996468,30,0,0,546
510,12.499193667004874,29,0,0,564
520,11.654695291996177,29,0,0,574
530,12.997305000004417,29,0,0,585
540,13.626946582997334,30,0,0,595
550,14.898452957997506,32,0,0,605
560,15.175687750001089,32,0,0,615
570,16.3281636669999,32,0,0,625
580,16.85417329199845,33,0,0,635
590,16.763684582998394,34,0,0,645
600,17.130999332999636,31,0,0,655
610,18.771689624998544,32,0,0,666
620,20.668608874999336,32,0,0,680
630,22.276671708998038,31,0,0,691
640,23.406729665999592,32,0,0,703
650,25.73405908299901,32,0,0,716
660,27.091367915993033,35,0,0,728
670,27.592307124999934,36,0,0,738
680,29.222228457998426,39,0,0,749
690,28.55264024999633,39,0,0,759
700,29.120521915996505,42,0,0,769
710,30.41516204099753,43,0,0,779
720,31.877545583003666,43,0,0,789
730,33.84753308299696,44,0,0,799
740,34.20929066700046,44,0,0,809
750,36.13787987500109,44,0,0,819
760,36.9851110410018,39,0,0,829
770,37.9395181660002,39,0,0,839
780,39.866966540997964,40,0,0,849
790,41.10719908399915,39,0,0,859
800,45.12487749999855,39,0,0,869
810,45.3453901249959,39,0,0,879
820,47.804159458995855,39,0,0,889
830,46.94107937499939,39,0,0,899
840,49.29354045899527,42,0,0,915
850,51.83390441600204,41,0,0,927
860,55.383040334003454,40,0,0,937
870,57.67748641700018,43,0,0,947
880,58.61417183300364,41,0,0,957
890,58.44314029200177,43,0,0,967
900,63.00532491600461,44,0,0,978
910,62.940777708005044,46,0,0,988
920,68.0014884159973,48,0,0,999
930,73.52583837499697,51,0,0,1009
940,75.18519766700047,49,0,0,1020
950,79.91469729099481,49,0,0,1030
960,78.61556358399685,50,0,0,1040
970,82.42279329099983,52,0,0,1050
980,82.5593609169955,52,0,0,1060
990,82.99893895899731,54,0,0,1070
1000,85.953903833004,53,0,0,1080
1010,90.48406312499719,55,0,0,1091
1020,92.44460191600228,56,0,0,1101
1030,97.35823466699367,56,0,0,1112
1040,99.28816462500254,57,0,0,1123
1050,99.58873741599382,56,0,0,1133
1060,106.46484004199738,54,0,0,1155
1070,110.8579668329985,53,0,0,1165
1080,113.5478978329993,55,0,0,1180
1090,119.20919375000085,54,0,0,1191
1100,121.37632208399737,55,0,0,1201
1110,123.09381104200293,55,0,0,1211
1120,125.24776987500081,60,0,0,1221
1130,133.87191637499927,66,0,0,1231
1140,137.06225612500566,69,0,0,1241
1150,139.9307044169982,67,0,0,1252
1160,143.32357562499965,73,0,0,1262
1170,144.63466383299965,71,0,0,1272
1180,152.24599670799944,71,0,0,1285
1190,157.92855579100433,69,0,0,1301
1200,156.97527095899568,69,0,0,1312
1210,162.16380816700257,70,0,0,1327
1220,162.98104166700068,69,0,0,1337
1230,164.6698505000022,67,0,0,1347
